"","model","fpr","tpr","threshold"
"52","RF",0.116279069767442,0.963503649635037,"0.515151515151515"
"53","RF",0.104651162790698,0.963503649635037,"0.525252525252525"
"54","RF",0.0930232558139535,0.963503649635037,"0.535353535353535"
"55","RF",0.0930232558139535,0.963503649635037,"0.545454545454546"
"56","RF",0.0813953488372093,0.956204379562044,"0.555555555555556"
"57","RF",0.0697674418604651,0.948905109489051,"0.565656565656566"
"58","RF",0.0697674418604651,0.948905109489051,"0.575757575757576"
"59","RF",0.0697674418604651,0.948905109489051,"0.585858585858586"
"60","RF",0.0697674418604651,0.948905109489051,"0.595959595959596"
"61","RF",0.0581395348837209,0.948905109489051,"0.606060606060606"
"62","RF",0.0581395348837209,0.941605839416058,"0.616161616161616"
"63","RF",0.0581395348837209,0.941605839416058,"0.626262626262626"
"64","RF",0.0581395348837209,0.941605839416058,"0.636363636363636"
"65","RF",0.0465116279069767,0.941605839416058,"0.646464646464647"
"66","RF",0.0465116279069767,0.934306569343066,"0.656565656565657"
"67","RF",0.0465116279069767,0.934306569343066,"0.666666666666667"
"68","RF",0.0465116279069767,0.934306569343066,"0.676767676767677"
"69","RF",0.0465116279069767,0.934306569343066,"0.686868686868687"
"70","RF",0.0348837209302326,0.927007299270073,"0.696969696969697"
"71","RF",0.0348837209302326,0.91970802919708,"0.707070707070707"
"72","RF",0.0348837209302326,0.91970802919708,"0.717171717171717"
"73","RF",0.0348837209302326,0.91970802919708,"0.727272727272727"
"74","RF",0.0348837209302326,0.91970802919708,"0.737373737373737"
"75","RF",0.0348837209302326,0.912408759124088,"0.747474747474748"
"76","RF",0.0348837209302326,0.897810218978102,"0.757575757575758"
"77","RF",0.0348837209302326,0.883211678832117,"0.767676767676768"
"78","RF",0.0348837209302326,0.883211678832117,"0.777777777777778"
"79","RF",0.0348837209302326,0.883211678832117,"0.787878787878788"
"80","RF",0.0348837209302326,0.868613138686131,"0.797979797979798"
"81","RF",0.0348837209302326,0.861313868613139,"0.808080808080808"
"82","RF",0.0232558139534884,0.832116788321168,"0.818181818181818"
"83","RF",0.0232558139534884,0.832116788321168,"0.828282828282828"
"84","RF",0.0232558139534884,0.824817518248175,"0.838383838383838"
"85","RF",0.0116279069767442,0.802919708029197,"0.848484848484849"
"86","RF",0.0116279069767442,0.781021897810219,"0.858585858585859"
"87","RF",0.0116279069767442,0.759124087591241,"0.868686868686869"
"88","RF",0.0116279069767442,0.751824817518248,"0.878787878787879"
"89","RF",0.0116279069767442,0.737226277372263,"0.888888888888889"
"90","RF",0.0116279069767442,0.700729927007299,"0.898989898989899"
"91","RF",0.0116279069767442,0.700729927007299,"0.909090909090909"
"92","RF",0.0116279069767442,0.671532846715328,"0.919191919191919"
"93","RF",0.0116279069767442,0.664233576642336,"0.929292929292929"
